id,didok,bpuic,name,short_name
id_8506175,6175,8506175,Jakobstal,JTAL
id_8509267,9267,8509267,Ftan Baraigla,FTAN
id_8501284,1284,8501284,Les Chevalleyres,CHEV
id_8503408,3408,8503408,Rekingen AG,REK
id_8508003,8003,8508003,Hindelbank,HBK
id_8504144,4144,8504144,Yverdon-Champ Pittet,CHP
id_8508184,8184,8508184,Lindenholz,LHO
id_8506202,6202,8506202,Dietfurt,DTF
id_8506213,6213,8506213,Bischofszell Stadt,BZS
id_8501285,1285,8501285,Fayaux,FAY
id_8507096,7096,8507096,Papiermühle,PAPI
id_8509193,9193,8509193,Surava,SURA
id_8509065,9065,8509065,Saas im Prättigau,SAAS
id_8509075,9075,8509075,Davos Frauenkirch,DAF
id_8506188,6188,8506188,Bronschhofen AMP,BROA
id_8504219,4219,8504219,Auvernier,AUV
id_8502191,2191,8502191,Binzenhof,BIHO
id_8519685,19685,8519685,Aarau Torfeld,ATOR
id_8509157,9157,8509157,Arosa,AROS
id_8504221,4221,8504221,Neuchâtel,NE
id_8503231,3231,8503231,Ennenda,EDA
id_8502113,2113,8502113,Aarau,AA
id_8508250,8250,8508250,Schwäbis,SWB
id_8503410,3410,8503410,Rietheim,RIET
id_8506206,6206,8506206,Wil SG,WIL
id_8506389,6389,8506389,Alter Zoll,AZO
id_8506388,6388,8506388,Warmesberg,WBG
id_8503421,3421,8503421,Jestetten,JE
id_8503420,3420,8503420,Lottstetten,LOT
id_8500115,115,8500115,Grellingen,GREL
id_8506351,6351,8506351,Ruderbach,RUDB
id_8506313,6313,8506313,Rheineck,RCK
id_8503312,3312,8503312,Oberglatt ZH,OGL
id_8503301,3301,8503301,Pfäffikon ZH,PFZ
id_8515995,15995,8515995,Cham Alpenblick,CHAA
id_8506286,6286,8506286,Appenzell,APPZ
id_8506220,6220,8506220,Algetshausen-Henau,ALG
id_8506209,6209,8506209,Flawil,FLA
id_8503118,3118,8503118,Benken SG,BNK
id_8503117,3117,8503117,Kaltbrunn,KAB
id_8503104,3104,8503104,Meilen,ML
id_8502227,2227,8502227,Steinhausen,STE
id_8502218,2218,8502218,Sins,SINS
id_8502217,2217,8502217,Mühlau,MUEH
id_8530708,30708,8530708,Neuchâtel Evole,NELI
id_8509189,9189,8509189,Thusis,THS
id_8508151,8151,8508151,Langenthal Gaswerk,LTHG
id_8504228,4228,8504228,Twann,TWN
id_8501083,1083,8501083,Reverolle,REV
id_8502027,2027,8502027,Hitzkirch,HIK
id_8501500,1500,8501500,Martigny,MA
id_8501377,1377,8501377,Les Avants,AVA
id_8509053,9053,8509053,Untervaz-Trimmis,UVAZ
id_8502274,2274,8502274,Zufikon,ZUFI
id_8502197,2197,8502197,Hirschthal,HIT
id_8502178,2178,8502178,Obermuhen,OMUH
id_8503093,3093,8503093,Zürich Manegg,ZMA
id_8503290,3290,8503290,Biberegg,BIGG
id_8500273,273,8500273,St. Katharinen,STKA
id_8504462,4462,8504462,Lattrigen,LATR
id_8504461,4461,8504461,Nidau,NIDA
id_8507381,7381,8507381,Schwendi bei Grindelwald,SWDG
id_8500292,292,8500292,Klus,KLUS
id_8500201,201,8500201,Lengnau BE,LEN
id_8500206,206,8500206,Solothurn West,SW
id_8500203,203,8500203,Bettlach,BET
id_8505165,5165,8505165,Andermatt,AND
id_8507380,7380,8507380,Grindelwald,GRIN
id_8504306,4306,8504306,Cortébert,CO
id_8508101,8101,8508101,Roggwil-Wynau,ROG
id_8504475,4475,8504475,Gerolfingen,GERO
id_8504065,4065,8504065,Vaulruz-Sud,VAUS
id_8504464,4464,8504464,Hagneck,HECK
id_8505412,5412,8505412,Riazzino,RIAZ
id_8508287,8287,8508287,Mussachen,MUSS
id_8508083,8083,8508083,Burgdorf Buchmatt,BDFB
id_8508161,8161,8508161,Kaltenherberg,KAHE
id_8508182,8182,8508182,Lotzwil,LOTZ
id_8508261,8261,8508261,Biglen,BIG
id_8508252,8252,8508252,Lädeli,LAED
id_8508262,8262,8508262,Walkringen,WALK
id_8509062,9062,8509062,Jenaz,JAZ
id_8504067,4067,8504067,La Tour-de-Trême,TOUV
id_8505303,5303,8505303,Maroggia-Melano,MAR
id_8504325,4325,8504325,Colombier NE Littorail,CNLI
id_8588122,88122,8588122,Landschlacht,LDS
id_8506216,6216,8506216,Kradolf,KRA
id_8506012,6012,8506012,Guntershausen,GUN
id_8501084,1084,8501084,Le Manège,MANE
id_8501306,1306,8501306,Chamby-Musée,CABM
id_8509173,9173,8509173,Rueun,RUEU
id_8504136,4136,8504136,Cousset,COUS
id_8509198,9198,8509198,Preda,PRED
id_8506017,6017,8506017,Wiesendangen,WD
id_8504411,4411,8504411,Münchenbuchsee,MUEB
id_8505492,5492,8505492,Verscio,VESC
id_8506126,6126,8506126,Münsterlingen-Scherzingen,MSCH
id_8504415,4415,8504415,Busswil BE,BUS
id_8508059,8059,8508059,Jegenstorf,JEG
id_8501374,1374,8501374,Fontanivent,FON
id_8501265,1265,8501265,La Chiésaz,CHIZ
id_8504071,4071,8504071,Lessoc,LES
id_8500211,211,8500211,Niederbipp,NB
id_8502248,2248,8502248,Bremgarten Obertor,BGOT
id_8501403,1403,8501403,St-Maurice,SM
id_8509265,9265,8509265,Guarda,GUA
id_8504392,4392,8504392,Les Brenets,BREN
id_8507291,7291,8507291,Weissenbach,WBA
id_8508254,8254,8508254,Brenzikofen,BK
id_8507388,7388,8507388,Wilderswil,WILD
id_8500280,280,8500280,Solothurn Baseltor,SOBT
id_8503204,3204,8503204,Horgen,HG
id_8509154,9154,8509154,Peist,PEI
id_8506024,6024,8506024,Stammheim,STM
id_8506179,6179,8506179,Lüdem,LUED
id_8509078,9078,8509078,Davos Wiesen,WIES
id_8503237,3237,8503237,Diesbach-Betschwanden,DSB
id_8501124,1124,8501124,Cully,CU
id_8509003,9003,8509003,Maienfeld,MF
id_8509175,9175,8509175,Tavanasa-Breil/Brigels,TABR
id_8508294,8294,8508294,Gettnau,GET
id_8506025,6025,8506025,Etzwilen,EW
id_8509050,9050,8509050,Chur West,CHWE
id_8506148,6148,8506148,St. Katharinental,STKT
id_8506170,6170,8506170,Münchwilen Pflegeheim,PFL
id_8504216,4216,8504216,Noiraigue,NOI
id_8508396,8396,8508396,Grafenort,GRAF
id_8508319,8319,8508319,Horw,HW
id_8503097,3097,8503097,Langnau-Gattikon,LNG
id_8508311,8311,8508311,Kaiserstuhl OW,KAI
id_8508310,8310,8508310,Lungern,LUN
id_8502184,2184,8502184,Gränichen Oberdorf,GRAO
id_8502174,2174,8502174,Bleien Liebegg,BLN
id_8503285,3285,8503285,Schindellegi-Feusisberg,SCHI
id_8518802,18802,8518802,Donaueschingen,
id_8518801,18801,8518801,Allensbach,
id_8518813,18813,8518813,Titisee,
id_8518831,18831,8518831,Murg (Baden),
id_8505585,5585,8505585,Druogno,DRSS
id_8505572,5572,8505572,Villette (Vigezzo),VILE
id_8505594,5594,8505594,Prestinone,PREO
id_8505591,5591,8505591,Isella-Olgia,ISOL
id_8518853,18853,8518853,Ravensburg,
id_8518820,18820,8518820,Friedrichshafen Stadt,
id_8518854,18854,8518854,Ulm Hbf,
id_8505599,5599,8505599,Verigo,VEGO
id_8507086,7086,8507086,Niederscherli,NS
id_8504066,4066,8504066,Vuadens-Sud,VUA
id_8508301,8301,8508301,Ringgenberg,RIN
id_8508306,8306,8508306,Brienzwiler,BRW
id_8508084,8084,8508084,Kirchberg-Alchenflüh,KIAL
id_8519133,19133,8519133,Fribourg/Freiburg Poya,FRPO
id_8508081,8081,8508081,Burgdorf Steinhof,BDFS
id_8508309,8309,8508309,Brünig-Hasliberg,BRUE
id_8505306,5306,8505306,Balerna,BAL
id_8505395,5395,8505395,Agno,AGNO
id_8505415,5415,8505415,S. Antonino,SAN
id_8504115,4115,8504115,Thörishaus Dorf,THOD
id_8508154,8154,8508154,Aarwangen Schloss,AARS
id_8508256,8256,8508256,Stalden i.E.,STAL
id_8508070,8070,8508070,Oberzollikofen,OBZO
id_8507087,7087,8507087,Mittelhäusern,MHN
id_8503070,3070,8503070,Emmat,EMMA
id_8503067,3067,8503067,Zollikerberg,ZKBG
id_8506283,6283,8506283,Urnäsch,UR
id_8501671,1671,8501671,Fürgangen-Bellwald Talstation,FUER
id_8504000,4000,8504000,Pully-Nord,PUN
id_8501458,1458,8501458,Villy,VY
id_8507297,7297,8507297,Oey-Diemtigen,OE
